topic_id,text,label
43989962,"""อ้าววะ gang! วันนี้ผมได้รับสุดๆ กับกระทู้คนถาม 'ถาม AI ก็ได้' รู้สึกเหมือนอยู่ในโลกที่ AI แย่งตำแหน่งของมนุษย์แล้วครับ พอเด็กมัธยมของผมถามอะไร จะตอบขึ้นต้นว่า 'ผมถาม Chat มันบอกว่า....' ผมก็ไม่รู้จะทำไงแล้ว... เอะ อะ ก็ AI บอก ....... แต่ปัญหาอยู่ที่ AI ไม่มี 'ไหวพริบ' ที่คนมีครับ พวกเราควรใช้ 'หัวคิด' เพื่อสร้างความเข้าใจและความคิดใหม่ๆ แทนการถาม AI ไปซะทีเดียว""",AI
43958708,"สวัสดีค่ะเพื่อนๆ ชาวพันทิป เราเป็นเด็ก13ที่อยากจะบอกต่อข้อความนี้ค่ะ วันนี้เราอยากมาชวนคุยในมุมที่หลายคนอาจมองข้าม ในวันที่ AI กลายเป็นส่วนหนึ่งของชีวิตจนหลายคนมองว่ามันคือ ""ทุกอย่าง"" แต่ความสะดวกสบายนี้มีเบื้องหลังที่น่ากังวลต่อโลกของเรามากค่ะ

1. พลังงานที่หายไปกับความว่างเปล่า ข้อมูลจาก MIT Technology Review ระบุว่าการฝึกฝนโมเดล AI ขนาดใหญ่เพียงตัวเดียว ปล่อยก๊าซคาร์บอนไดออกไซด์เท่ากับการใช้งานรถยนต์ถึง 5 คันตลอดอายุการใช้งาน และการเจนรูปภาพด้วย AI เพียง 1 รูป อาจใช้พลังงานเทียบเท่ากับการชาร์จแบตเตอรี่โทรศัพท์มือถือจนเต็ม

2. เมื่อน้ำแข็งละลาย หมีขั้วโลกก็ไร้ที่อยู่อาศัย เราอยากให้ทุกคนนึกถึงภาพหมีขั้วโลกที่กำลังจะสูญพันธุ์เพราะไม่มีที่อยู่ ความร้อนที่เกิดจากการประมวลผลของ Data Center ทั่วโลกส่งผลกระทบโดยตรงต่ออุณหภูมิโลก หากเรายังใช้ AI อย่างฟุ่มเฟือย อนาคตโลกอาจไม่ใช่บ้านที่สวยงามสำหรับมนุษย์เราอีกต่อไป

3. ใช้ AI อย่างไรให้ยั่งยืน? เราไม่ได้บอกว่า AI ไม่ดีนะคะ เพราะในด้านการศึกษาและการค้นคว้าข้อมูล AI มีประโยชน์มหาศาล แต่เราอยากกรณรงค์ให้ใช้ ""เท่าที่จำเป็นจริงๆ"" หยุด: การสั่ง AI เจนรูปเล่นๆ เพียงเพื่อความสนุกชั่วคราว ลด: การใช้งานฟุ่มเฟือยที่ไม่เกิดประโยชน์ต่อการพัฒนาความรู้ เพิ่ม: ความตระหนักรู้ว่าทุกการกด Enter ของเรา มีต้นทุนเป็นทรัพยากรธรรมชาติ เราอยากให้AIเป็นเครื่องมือที่ช่วยให้เราเก่งขึ้น แต่ไม่ใช่เครื่องมือที่มาทำลายสิ่งแวดล้อมจนไม่เหลืออะไรให้คนรุ่นหลัง

เพื่อนๆพี่ๆ มีความเห็นอย่างไรกับเรื่องนี้บ้างคะ? เราควรมีขอบเขตในการใช้ AI เพื่อรักษาโลกไว้มากกว่านี้ไหมคะ?",AI
44003648,"""เราไป ออ กันเข้าแถวเติมน้ำมัน แถวยาว จราจรติดขัด ทั้งๆที่รู้ว่า อาจไม่มีอะไรให้น่ากังวล ขนาดนี้น เราผ่าน วิกฤติ โควิด มาถึงวันนี้ได้ เรามีประสบการณ์ดีแล้วที่จะตั้งรับ ถึงไม่มีน้ำมันให้เต็ม ก็ยังมีรถไฟฟ้าบริการ ก็ปรับเวลาวิ่ง 24 ชั่วโมงไปเลย ดูรอบๆ เอเชียบ้านเรา หลายประเทศ เห็นว่า เฉยๆนะ แต่ก็ขอให้ สถาบัน การเงิน พิจารณาพักชำระหนี้อย่างน้อย 6 เดือน บ้านเรา พึ่งพา นักท่องเที่ยว แต่ตอนนี้ บอกเลยว่า วังเวง มาก""",AI
44053718,"สวัสดี gang! ของเราเรือขึ้น 4,000 บาท ลงทุนค่าแอร์แลกกับการเดินทางไปทำงาน สรุปคือค่าแอร์ขึ้นเท่ากับค่าน้ำมันเดินทางไปทำงาน เราใช้ห้องนึงเปิดตลอด 24 ชั่วโมง มิตซู inverter เป็นห้องเราเอง ใช้วิเคราะห์หุ้น ทอง ใช้ประชุม ใช้ทำงาน และอ่านหนังสือ ดูหนังฟังเพลง ทำทุกอย่างในห้อง ตั้งแต่ปลายเดือนมีนาคม work from home ตอนน้ำมันขึ้นราคาแล้ว อีกห้องนึงเปิด 2 ชั่วโมงเฉพาะตอนสวดมนต์ แม่เราใช้ ตามปกติ นอกนั้นเครื่องใช้ไฟฟ้าอื่น ก็เปิดตามปกติทุก ทั้งกาต้มน้ำไฟฟ้า เครื่องซักผ้า เตาไมโครเวฟ หม้ออบลมร้อน เตารีด ปั๊มน้ำ และอื่นๆเปิดตามปกติทุกประการ ค่าไฟขึ้นโหดมากนะคะ ของใครค่าไฟขึ้น อย่างไรกันบ้าง แก้ไขข้อความเมื่อ",AI
44028467,"สวัสดี gang! ผมนักศึกษาปี4 กันเอง วันนี้ผมได้รับที่ฝึกงานที่ทำงานแบบ WFH 100% เลยอยากจะถามว่าควรเตรียมตัวยังไงบ้างครับ อย่างแรกเลยคือ ความรับผิดชอบตัวเองมีความสำคัญมากๆ เราต้องมีสภาวะmindset ที่พร้อมจะเป็นพนักงานที่ดีได้

จริงๆ ผมต้องการไปบริษัทมากๆ เพราะอยากเรียนรู้วัฒนธรรม สังคมเค้าเป็นยังไง เพราะเราก็ยังไม่มีประสบการณ์ กลัวว่าถ้าได้ไปทำงานจริงๆ จะติดๆขัดๆ คือ ความไม่เข้าใจ culture ของบริษัท ทำให้เราไม่สามารถทำงานได้อย่างราบรื่น

คุณมีข้อแนะนำอะไรบ้างครับ ที่ผมควรทำเพื่อเตรียมตัวสำหรับการ WFH นี้ เลยอยากจะถามว่าอะไรคือความสำคัญที่สุดตอนแรกครับ",AI
44017469,"สวัสดี gang! วันนี้ผมมาแชร์ความคิดเห็นเกี่ยวกับมาตรการ Work from Home (WFH) ที่ถูกนำกลับมาใช้อีกครั้ง เพื่อบรรเทาวิกฤตพลังงาน หลังจากที่เราเคยใช้กันมากในช่วงโควิด-19 และบางช่วงที่มีฝุ่นพิษ แต่มาตรการนี้ก็ถูกตั้งคำถามอยู่ไม่น้อยว่า เป็นการผลักภาระค่าใช้จ่ายมาที่คนทำงานหรือไม่

ผมเชื่อว่ามันควรจะมีเงินอุดหนุนค่าไฟ หรือสวัสดิการ WFH ที่ภาครัฐและองค์กรต้องจัดหาให้ เพื่อลดภาระส่วนนี้ โดยเฉพาะในช่วงหน้าร้อน ค่าไฟที่บ้านคงพุ่งไปมาก ผมเจอปัญหาแฟนไปสอน มหาวิทยาลัย ก็ต้องไปรับไปส่ง แล้วกลับมา WFH ซื้อคอมใหม่ที่มีกล้องอีก

อย่างไร็ตาม มาตรการ WFH เองก็ช่วยลดต้นทุนขององค์กรและภาครัฐได้ทันที แต่ในมุมของพนักงานและประชาชน กลับมีข้อกังวลว่าเป็นการ ""ย้ายภาระ"" จากที่ทำงานมาไว้ที่บ้านแทน

คุณคิดว่าควรมีเงินอุดหนุนค่าไฟหรือสวัสดิการ WFH ควรเป็นสิ่งที่ภาครัฐและองค์กรต้องจัดหาให้ เพื่อลดภาระส่วนนี้ หรือไม่?",AI
43862887,"สวัสดีคณะ! กำลังคิดเรื่องหาเน็ตแบบสเถียรเพื่อ wfh ค่ะ แต่กังวลเรื่องสัญญา เพราะบริษัทแจ้งว่าไม่แน่ใจจะให้ wfh กี่เดือน พอจะมีทางเลือกอื่นไหมคะ หรือถ้าใช้พ็อกเกตไวไฟ แฃ้วซื้อซิมเทพใส่เอาเครื่องจะร้อนไหมคะ;-;

อย่างแรกเลยคือ ผมว่าเรื่องเน็ต speed สำคัญมาก มันคือ keys to success ในการ wfh เรียกว่า จะได้รับคะแนนเต็มจาก boss ก็สำคัญใช่มั้ยคะ🤔

มีทางเลือกอื่นที่ผมพบ คือ ใช้พ็อกเกตไวไฟ แฃ้วซื้อซิมเทพใส่เอาเครื่อง แต่เรื่องสัญญา 6 เดือนนี่ก็เป็นปัญหาใช่มั้ยคะ💸

ทุกคนเคยประสบการณ์อย่างไรบ้างคะ ทำไมไม่ลองใช้พ็อกเกตไวไฟ แ Brunswick กับบริษัทของคุณดีไหมคะ🤔",AI
43736384,สวัสดีครับทุกท่าน ช่วงนี้ผมมีความสงสัยว่า ปัจจุบันวิถีการทำงานของหลาย ๆ คนเปลี่ยนไปมาก หลังจากที่เราเคยเจอสถานการณ์โควิด หลายบริษัทก็เริ่มเปิดโอกาสให้พนักงานทำงานแบบ Work from home (WFH) ได้ ส่วนบางที่ก็ยังคงให้พนักงาน ไปทำงานที่ออฟฟิศเต็มเวลา แบบดั้งเดิม ขณะที่บางแห่งก็ใช้ระบบ Hybrid หรือผสมผสาน คือบางวันไปออฟฟิศ บางวันทำงานจากบ้าน ผมเองก็แอบคิดเล่น ๆ ว่า ถ้าให้เราเลือกได้จริง ๆ แต่ละคนจะเลือกวิธีการทำงานแบบไหน เพราะแต่ละแบบก็คงมีข้อดีข้อเสียแตกต่างกัน เช่น Work from home อาจช่วยประหยัดเวลาเดินทาง มีความยืดหยุ่นในการจัดการชีวิต แต่บางครั้งอาจทำให้รู้สึกโดดเดี่ยว ไปออฟฟิศเต็มเวลา อาจได้บรรยากาศการทำงานจริงจัง มีโอกาสเจอเพื่อนร่วมงาน ได้แลกเปลี่ยนความคิดเห็นโดยตรง แต่ก็ต้องเผชิญกับการเดินทางที่อาจใช้เวลามาก Hybrid หรือผสมกัน ดูเหมือนจะเป็นทางสายกลาง ได้ทั้งความยืดหยุ่นและการพบปะผู้คน แต่ก็อาจมีความยุ่งยากเรื่องการจัดตาราง เลยอยากมาถามเพื่อน ๆ พี่ ๆ น้อง ๆ ใน Pantip ครับว่า ตอนนี้แต่ละคนทำงานในรูปแบบใดอยู่ (WFH / ออฟฟิศเต็มเวลา / Hybrid) ถ้าเลือกได้เอง โดยไม่ต้องยึดตามนโยบายบริษัท แต่เลือกตามความชอบและไลฟ์สไตล์ของเรา แต่ละคนอยากทำงานแบบไหนมากที่สุด และเพราะอะไร 😊,AI
44022876,"สวัสดี gang! หลายท่านที่อยู่ในวงการบริหารงานราชการทั้งหลายได้ยินข่าวนโยบาย WFH กันแล้ว ซึ่งเป็นสัญญาณดีสำหรับการพัฒนาทั่วทั้งประเทศเลยครับ 

ผมสงสัยว่า ฝั่งเอกชนตอนนี้เป็นยังไงบ้าง สำหรับบริษัทของเพื่อน ๆ คิดว่ายังมีการเข้าออฟฟิศ 100% อยู่อย่างไร หรือมี Hybrid กันมากขึ้น สลับกันเข้า-ออก WFH ได้ปกติ? ที่ทำงานผม เป็น Hybrid ครับ สลับกันเข้า-ออก 

อยากทราบว่าเพื่อน ๆ คิดอย่างไร เราไม่ค่อยเห็นการเปลี่ยนแปลงในบริษัทเอกชนมากนัก อยากทราบความเป็นจริงจากเพื่อน ๆ ทุกคนเลยครับ 👉 Anyone have any update on their company's WFH policy? 🤔",AI
44049772,"""สวัสดี gang! ผมหาข้อมูลมาอยู่ตรงไหนว่าคนคิดเป็นอาจารย์จาก NASA ที่นำเทเลwork มาใช้ในการทำงาน เรียนที่ Jack Neff เขียนหนังสือด้วย Anyway, ผมลองคุยกับผู้บริหารบริษัทแห่งหนึ่งของไทย เขาบอกว่าคนไทยนำมาปรับปรุงริเริ่มนี้ให้ทันยุคทันสมัยอีกครั้งโดยใช้ชื่อ WFH/WFA และเริ่มมีบทบาทในช่วงแรกคือสถานการณ์การระบาดของเชื้อไวรัส COVID 19 แล้วกลับมาอีกครั้งในวิกฤตการณ์พลังงานอันเนื่องจากสงครามในตะวันออกกลาง Anyone know who's that Thai person or the CEO I talked to? He's always joking around""",AI
