topic_id,text,label
43989962,"เวลามีคนตั้งกระทู้ถามใน Pantip บอกครั้งที่มีคนบอกว่า ""ถาม AI ก็ได้"" จริงอยู่หลายคำถาม AI ตอบได้ แต่คำตอบใน Pantip เป็นกระดานสนทนา ผู้ตอบสามารถตอบคำถามต่อยอดได้กว้างขวาง และมีไหวพริบที่ AI ไม่มี ครับ AI คือ การทำโปรแกรม IF else แล้ว Adaptive Base มันทำได้เร็ว แต่มันจะไม่มีความสามารถ ""คิด"" แบบใช้ ""ไหวพริบ"" แทนคนได้ครับ ผมเพิ่งสอนหลานคนหนึ่ง เด็กมัธยม พอถามอะไร จะตอบขึ้นต้นว่า ""ผมถาม Chat มันบอกว่า...."" ผมเขกหัวทีหนึ่งแล้วบอกว่า ""ไม่รู้จักคิดเองเลยหรือ ?"" เอะ อะ ก็ AI บอก .......",Human
43958708,"สวัสดีค่ะเพื่อนๆ ชาวพันทิป เราเป็นเด็ก13ที่อยากจะบอกต่อข้อความนี้ค่ะ วันนี้เราอยากมาชวนคุยในมุมที่หลายคนอาจมองข้าม ในวันที่ AI กลายเป็นส่วนหนึ่งของชีวิตจนหลายคนมองว่ามันคือ ""ทุกอย่าง"" แต่ความสะดวกสบายนี้มีเบื้องหลังที่น่ากังวลต่อโลกของเรามากค่ะ 1. พลังงานที่หายไปกับความว่างเปล่า ข้อมูลจาก MIT Technology Review ระบุว่าการฝึกฝนโมเดล AI ขนาดใหญ่เพียงตัวเดียว ปล่อยก๊าซคาร์บอนไดออกไซด์เท่ากับการใช้งานรถยนต์ถึง 5 คันตลอดอายุการใช้งาน และการเจนรูปภาพด้วย AI เพียง 1 รูป อาจใช้พลังงานเทียบเท่ากับการชาร์จแบตเตอรี่โทรศัพท์มือถือจนเต็ม 2. เมื่อน้ำแข็งละลาย หมีขั้วโลกก็ไร้ที่อยู่อาศัย เราอยากให้ทุกคนนึกถึงภาพหมีขั้วโลกที่กำลังจะสูญพันธุ์เพราะไม่มีที่อยู่ ความร้อนที่เกิดจากการประมวลผลของ Data Center ทั่วโลกส่งผลกระทบโดยตรงต่ออุณหภูมิโลก หากเรายังใช้ AI อย่างฟุ่มเฟือย อนาคตโลกอาจไม่ใช่บ้านที่สวยงามสำหรับมนุษย์เราอีกต่อไป 3. ใช้ AI อย่างไรให้ยั่งยืน? เราไม่ได้บอกว่า AI ไม่ดีนะคะ เพราะในด้านการศึกษาและการค้นคว้าข้อมูล AI มีประโยชน์มหาศาล แต่เราอยากรณรงค์ให้ใช้ ""เท่าที่จำเป็นจริงๆ"" หยุด: การสั่ง AI เจนรูปเล่นๆ เพียงเพื่อความสนุกชั่วคราว ลด: การใช้งานฟุ่มเฟือยที่ไม่เกิดประโยชน์ต่อการพัฒนาความรู้ เพิ่ม: ความตระหนักรู้ว่าทุกการกด Enter ของเรา มีต้นทุนเป็นทรัพยากรธรรมชาติ เราอยากให้AIเป็นเครื่องมือที่ช่วยให้เราเก่งขึ้น แต่ไม่ใช่เครื่องมือที่มาทำลายสิ่งแวดล้อมจนไม่เหลืออะไรให้คนรุ่นหลัง เพื่อนๆพี่ๆ มีความเห็นอย่างไรกับเรื่องนี้บ้างคะ? เราควรมีขอบเขตในการใช้ AI เพื่อรักษาโลกไว้มากกว่านี้ไหมคะ?",Human
44003648,​ไป ออ กันเข้าแถวเติมน้ำมัน แถวยาว จราจรติดขัด ทั้งๆที่รู้ว่า อาจไม่มีอะไรให้น่ากังวล ขนาดนี้น เราผ่าน วิกฤติ โควิด มาถึงวันนี้ได้ เรามีประสบการณ์ดีแล้วที่จะตั้งรับ ถึงไม่มีน้ำมันให้เต็ม ก็ยังมีรถไฟฟ้าบริการ ก็ปรับเวลาวิ่ง 24 ชั่วโมงไปเลย ดูรอบๆ เอเชียบ้านเรา หลายประเทศ เห็นว่า เฉยๆนะ แต่ก็ขอให้ สถาบัน การเงิน พิจารณาพักชำระหนี้อย่างน้อย 6 เดือน บ้านเรา พึ่งพา นักท่องเที่ยว แต่ตอนนี้ บอกเลยว่า วังเวง มาก,Human
44053718,"ของเราขึ้น 4,000 บาท ลงทุนค่าแอร์แลกกับการเดินทางไปทำงาน สรุปคือค่าแอร์ขึ้นเท่ากับค่าน้ำมันเดินทางไปทำงาน มีห้องนึงเปิดตลอด 24 ชั่วโมง มิตซู inverter เป็นห้องเราเอง ใช้วิเคราะห์หุ้น ทอง ใช้ประชุม ใช้ทำงาน และอ่านหนังสือ ดูหนังฟังเพลง ทำทุกอย่างในห้อง ตั้งแต่ปลายเดือนมีนาคม work from home ตอนน้ำมันขึ้นราคาแล้ว อีกห้องนึงเปิด 2 ชั่วโมงเฉพาะตอนสวดมนต์ แม่เราใช้ ตามปกติ นอกนั้นเครื่องใช้ไฟฟ้าอื่น ก็เปิดตามปกติทุก ทั้งกาต้มน้ำไฟฟ้า เครื่องซักผ้า เตาไมโครเวฟ หม้ออบลมร้อน เตารีด ปั๊มน้ำ และอื่นๆเปิดตามปกติทุกประการ ค่าไฟขึ้นโหดมากนะคะ ของใครค่าไฟขึ้น อย่างไรกันบ้าง แก้ไขข้อความเมื่อ",Human
44028467,สวัสดีครับ ผมนักศึกษาปี4 พอดีว่าได้ที่ฝึกงานเป็นแบบ WFH100% เลยอยากจะถามว่าควรเตรียมตัวยังไงบ้างครับ ใจจริงอยากจะไปบริษัทมากๆ เพราะอยากเรียนรู้วัฒนธรรม สังคมเค้าเป็นยังไง เพราะเราก็ยังไม่มีประสบการณ์ กลัวว่าถ้าได้ไปทำงานจริงๆ จะติดๆขัดๆ ช่วยแนะนำแนวทางหน่อยครับ,Human
44017469,"มาตรการ Work from Home ถูกหยิบมาใช้ในวงกว้างอีกครั้ง เพื่อบรรเทาวิกฤติด้านพลังงาน จากที่ใช้เคยใช้กันมากช่วงเว้นระยะห่างในวิกฤตโควิด-19 และบางช่วงที่มีฝุ่นพิษ แต่ มาตรการนี้ ก็ถูกตั้งคำถามอยู่ไม่น้อยว่า เป็นการผลักภาระค่าใช้จ่ายมาที่คนทำงาน ขรก หรือไม่ โดยเฉพาะในช่วงหน้าร้อน ค่าไฟที่บ้านคงพุ่งไปมาก ผมเจอปัญหาแฟนไปสอน มหาวิทยาลัย ก็ต้องไปรับไปส่ง แล้วกลับมา WFH ซื้อคอมใหม่ที่มีกล้องอีก มาตรการ Work From Home (WFH) ถูกนำกลับมาใช้อีกครั้งโดยรัฐบาล (ข้อมูล ณ มีนาคม 2569) เพื่อรับมือกับวิกฤตพลังงานและสถานการณ์ความตึงเครียดในตะวันออกกลาง แม้มาตรการนี้จะช่วยลดต้นทุนขององค์กรและภาครัฐได้ทันที แต่ในมุมของพนักงานและประชาชน กลับมีข้อกังวลว่าเป็นการ ""ย้ายภาระ"" จากที่ทำงานมาไว้ที่บ้านแทน ประเด็นที่สะท้อนถึงการย้ายภาระมาสู่ประชาชน มีดังนี้: ค่าใช้จ่ายสาธารณูปโภคที่เพิ่มขึ้น ขรก และ พนักงานต้องแบกรับค่าไฟฟ้าจากการเปิดเครื่องปรับอากาศและอุปกรณ์ สำนักงานตลอดทั้งวัน รวมถึงค่าน้ำและค่าอินเทอร์เน็ตที่เสถียรเพียงพอสำหรับการทำงาน การลงทุนในอุปกรณ์ หลายคนต้องจัดหาเก้าอี้เพื่อสุขภาพ (Ergonomic chair) โต๊ะทำงาน หรืออุปกรณ์ไอทีเพิ่มเติมเอง เพื่อให้ทำงานที่บ้านได้ยาวนานโดยไม่เสียสุขภาพ พื้นที่และการจัดการชีวิต ไม่ใช่ทุกคนที่มีบ้านที่มีพื้นที่เหมาะสมสำหรับการทำงาน ทำให้เกิดความเครียด จากการจัดการพื้นที่ส่วนตัวและงานที่ทับซ้อนกัน ภาระแฝงในงานบริการ สำหรับประชาชนที่ต้องติดต่อราชการ หากการจัดการ WFH ไม่ดีพอ อาจทำให้ได้รับบริการที่ล่าช้าลง ซึ่งถือเป็นการเพิ่มภาระในการรอคอยหรือการเดินทางไป-กลับหลายรอบ อย่างไรก็ตาม มาตรการนี้มี ""ข้อดีที่ช่วยลดภาระ"" ในด้านอื่นด้วย เช่น ประหยัดค่าเดินทางและเวลา ลดค่าใช้จ่ายน้ำมันเชื้อเพลิงและค่าเดินทางสาธารณะ รวมถึงลดเวลาและความเครียดจากการจราจรติดขัด ความยืดหยุ่น เพิ่มโอกาสในการจัดสรรเวลาส่วนตัวและครอบครัวได้ดีขึ้นหากมีการ จัดการงานอย่างเป็นระบบ สรุปสถานการณ์ปัจจุบัน รัฐบาลเน้นย้ำให้หน่วยงานราชการและรัฐวิสาหกิจเริ่ม WFH ทันทีในส่วนที่ไม่กระทบงาน บริการประชาชน เพื่อลดการใช้พลังงานในภาพรวมของประเทศ โดยหน่วยงานอย่าง กรมการพัฒนาชุมชน ได้เริ่มแผนหมุนเวียนเจ้าหน้าที่ WFH ร้อยละ 20-30 แล้ว แล้วคุณคิดว่า .. ควรมีเงินอุดหนุนค่าไฟหรือสวัสดิการ WFH ควรเป็นสิ่งที่ภาครัฐและองค์กรต้องจัดหาให้ เพื่อลดภาระส่วนนี้หรือไม่? และ การเรียนออนไลน์ ช่วยลดภาระให้ผู้ปกครองได้อีกทางนึง ลดการเดินทางทั้งครอบครัว ในช่วง WFH ศุภจี” ขอประชาชน ไม่ต้องตื่นตระหนก ภาวะสู้รบในตะวันออกกลาง ย้ำมีศูนย์ประเมินสถานการณ์รายวัน ยันรัฐบาลมีแผนรับมือผลกระทบทั้งระยะสั้น-ยาว ก่อนถามกลับสื่อ “ทำไมถึงเป็นอย่างนั้น” หลังถูกถาม WFH เพิ่มภาระค่าไฟให้ปชช. บอกใครพร้อมก็ทำ ถ้าลำบากก็ไม่มีความจำเป็น ดูที่ความเหมาะสม แก้ไขข้อความเมื่อ",Human
43862887,กำลังคิดเรื่องหาเน็ตแบบสเถียรเพื่อwfhค่ะ แต่กังวลเรื่องสัญญา เพราะบริษัทแจ้งว่าไม่แน่ใจจะให้wfhกี่เดือน พอจะมีทางเลือกอื่นไหมคะ หรือถ้าใช้พ็อกเกตไวไฟแฃ้วซื้อซิมเทพใส่เอาเครื่องจะร้อนไหมคะ;-; แต่ซิมเทพมันก็เป็นแบบสัญญา6เดือนใช่มั้ยคะ🥹,Human
43736384,สวัสดีครับทุกท่าน ช่วงนี้ผมมีความสงสัยว่า ปัจจุบันวิถีการทำงานของหลาย ๆ คนเปลี่ยนไปมาก หลังจากที่เราเคยเจอสถานการณ์โควิด หลายบริษัทก็เริ่มเปิดโอกาสให้พนักงานทำงานแบบ Work from home (WFH) ได้ ส่วนบางที่ก็ยังคงให้พนักงาน ไปทำงานที่ออฟฟิศเต็มเวลา แบบดั้งเดิม ขณะที่บางแห่งก็ใช้ระบบ Hybrid หรือผสมผสาน คือบางวันไปออฟฟิศ บางวันทำงานจากบ้าน ผมเองก็แอบคิดเล่น ๆ ว่า ถ้าให้เราเลือกได้จริง ๆ แต่ละคนจะเลือกวิธีการทำงานแบบไหน เพราะแต่ละแบบก็คงมีข้อดีข้อเสียแตกต่างกัน เช่น Work from home อาจช่วยประหยัดเวลาเดินทาง มีความยืดหยุ่นในการจัดการชีวิต แต่บางครั้งอาจทำให้รู้สึกโดดเดี่ยว ไปออฟฟิศเต็มเวลา อาจได้บรรยากาศการทำงานจริงจัง มีโอกาสเจอเพื่อนร่วมงาน ได้แลกเปลี่ยนความคิดเห็นโดยตรง แต่ก็ต้องเผชิญกับการเดินทางที่อาจใช้เวลามาก Hybrid หรือผสมกัน ดูเหมือนจะเป็นทางสายกลาง ได้ทั้งความยืดหยุ่นและการพบปะผู้คน แต่ก็อาจมีความยุ่งยากเรื่องการจัดตาราง เลยอยากมาถามเพื่อน ๆ พี่ ๆ น้อง ๆ ใน Pantip ครับว่า ตอนนี้แต่ละคนทำงานในรูปแบบใดอยู่ (WFH / ออฟฟิศเต็มเวลา / Hybrid) ถ้าเลือกได้เอง โดยไม่ต้องยึดตามนโยบายบริษัท แต่เลือกตามความชอบและไลฟ์สไตล์ของเรา แต่ละคนอยากทำงานแบบไหนมากที่สุด และเพราะอะไร เผื่อจะได้เห็นมุมมองหลากหลาย และอาจทำให้เราเข้าใจวิธีคิดของคนทำงานยุคนี้มากขึ้นครับ 😊,Human
44022876,เห็นข่าวว่าฝั่ง ข้าราชการ / รัฐวิสาหกิจ หลายที่เริ่มมีนโยบาย WFH กันแล้ว เลยอยากรู้ว่า “ฝั่งเอกชน” ตอนนี้เป็นยังไงบ้าง 👉 บริษัทของเพื่อน ๆ ยังเข้าออฟฟิศ 100% 👉 มี Hybrid (เข้า-ออกสลับ) 👉 หรือยัง WFH ได้ปกติ? ที่ทำงานผม เป็น Hybrid ครับ สลับกันเข้า-ออก,Human
44049772,ผมหาข้อมูลพบว่าคนต้นคิดเป็นอตีดวิศวกรจาก NASA ที่นำมาใช้ในการทำงาน เรียนว่า เทเลwork (ชื่อประมาณนี้) และเขามีการเขียนหนังสือด้วย ขื่อแจ็ค เนล แต่ผมลองคุยกับผู้บริหารบริษัทแห่งหนึ่งของไทย เขาบอกว่า คนไทยนำมาปรับปรุงริเริ่มให้ทันยุคทันสมัยอีกครั้งโดยใช้ชื่อ WFH/WFA และเริ่มมีบทบาทช่วงเเรกคือ สถานการณ์การระบาดของเชื้อไวรัส COVID 19 และกลับมาอีกครั้งในวิกฤตการณ์พลังงานอันเนื่องจากสงครามในตะวันออกกลาง ใครพอจะทราบว่าเขาคนไทยคนนั้นคือใคร หรือผู้บริหารที่ผมคุยด้วยพูดเล่น(เขาติดตลกบ่อยครั้ง),Human
